,college,state,city,average_costs,graduation_rate,salary_after_attending,students
341,Appalachian State University,NC,Boone,13171.0,71.0,38800.0,16434.0
342,University of Southern Maine,ME,Portland,14994.0,34.0,38700.0,5233.0
343,Valdosta State University,GA,Valdosta,15076.0,36.0,38700.0,8589.0
344,Middle Tennessee State University,TN,Murfreesboro,12173.0,43.0,38700.0,18998.0
345,University of Alaska Fairbanks,AK,Fairbanks,10248.0,27.0,38700.0,5152.0
346,Athens State University,AL,Athens,,,38700.0,2888.0
347,University of Hawaii-West Oahu,HI,Kapolei,8728.0,23.0,38600.0,2757.0
348,Mansfield University of Pennsylvania,PA,Mansfield,18292.0,50.0,38600.0,2052.0
349,Coastal Carolina University,SC,Conway,15111.0,42.0,38500.0,9460.0
350,University of Central Arkansas,AR,Conway,13231.0,43.0,38300.0,9082.0
351,Midland College,TX,Midland,8049.0,19.0,38300.0,4586.0
352,McNeese State University,LA,Lake Charles,10722.0,42.0,38200.0,6083.0
353,Fort Hays State University,KS,Hays,12039.0,40.0,38200.0,11698.0
354,University of West Georgia,GA,Carrollton,15212.0,40.0,38200.0,10599.0
355,Chadron State College,NE,Chadron,13267.0,43.0,38200.0,2039.0
356,Purdue University-Calumet Campus,IN,Hammond,10990.0,32.0,38200.0,7100.0
357,Coppin State University,MD,Baltimore,9346.0,18.0,38100.0,2477.0
358,The University of Tennessee-Chattanooga,TN,Chattanooga,14673.0,44.0,38100.0,10057.0
359,Green River College,WA,Auburn,9542.0,36.0,38100.0,5659.0
360,Kent State University at Stark,OH,Canton,8702.0,28.0,38000.0,4444.0
361,Kent State University at Trumbull,OH,Warren,8922.0,18.0,38000.0,2231.0
362,Kent State University at Kent,OH,Kent,18680.0,56.0,38000.0,22907.0
363,University of Central Missouri,MO,Warrensburg,14889.0,52.0,38000.0,8756.0
364,Kent State University at Geauga,OH,Burton,9005.0,25.0,38000.0,2124.0
365,Sul Ross State University,TX,Alpine,14891.0,19.0,37900.0,2249.0
366,Clarion University of Pennsylvania,PA,Clarion,18567.0,49.0,37900.0,4252.0
367,University of Hawaii at Hilo,HI,Hilo,11912.0,37.0,37900.0,2962.0
368,Northeastern Illinois University,IL,Chicago,16285.0,23.0,37900.0,7570.0
369,Indiana University-Southeast,IN,New Albany,10913.0,30.0,37900.0,4964.0
370,University of South Alabama,AL,Mobile,14755.0,37.0,37800.0,11483.0
371,North Seattle College,WA,Seattle,4788.0,23.0,37800.0,2727.0
372,University of North Alabama,AL,Florence,11127.0,40.0,37800.0,5846.0
373,University of New Orleans,LA,New Orleans,10191.0,36.0,37800.0,5987.0
374,Western Carolina University,NC,Cullowhee,14433.0,57.0,37700.0,9002.0
375,Lake Superior State University,MI,Sault Ste Marie,11583.0,40.0,37700.0,2063.0
376,Southwest Minnesota State University,MN,Marshall,14926.0,45.0,37600.0,2321.0
377,Florida Agricultural and Mechanical University,FL,Tallahassee,13212.0,40.0,37600.0,7365.0
378,Northern Kentucky University,KY,Highland Heights,8446.0,39.0,37500.0,11033.0
379,University of North Carolina at Greensboro,NC,Greensboro,11758.0,55.0,37500.0,15781.0
380,University of Louisiana at Monroe,LA,Monroe,8846.0,42.0,37500.0,6150.0
381,Colorado State University-Pueblo,CO,Pueblo,14068.0,33.0,37500.0,3953.0
382,Nicholls State University,LA,Thibodaux,11106.0,45.0,37500.0,5278.0
383,University of Memphis,TN,Memphis,13306.0,43.0,37400.0,15962.0
384,SUNY College of Technology at Delhi,NY,Delhi,14826.0,42.0,37200.0,3255.0
385,Southeastern Louisiana University,LA,Hammond,11222.0,39.0,37200.0,10839.0
386,Murray State University,KY,Murray,10322.0,49.0,37100.0,7655.0
387,University of South Carolina-Aiken,SC,Aiken,14589.0,43.0,37100.0,3122.0
388,Boise State University,ID,Boise,14205.0,39.0,37100.0,16045.0
389,Emporia State University,KS,Emporia,13666.0,43.0,37100.0,3578.0
390,Southeast Missouri State University,MO,Cape Girardeau,12277.0,49.0,37000.0,9028.0
391,Troy University,AL,Troy,11479.0,35.0,37000.0,13745.0
392,University of Southern Indiana,IN,Evansville,12322.0,39.0,37000.0,7764.0
393,University of South Carolina-Upstate,SC,Spartanburg,14478.0,41.0,36900.0,5030.0
394,Highline College,WA,Des Moines,6654.0,32.0,36900.0,4839.0
395,East Central University,OK,Ada,7196.0,35.0,36800.0,3249.0
396,Colorado Mesa University,CO,Grand Junction,17013.0,33.0,36800.0,8734.0
397,University of Wisconsin-Superior,WI,Superior,13314.0,41.0,36700.0,2263.0
398,Humboldt State University,CA,Arcata,13515.0,46.0,36600.0,7956.0
399,University of Maryland Eastern Shore,MD,Princess Anne,16069.0,35.0,36600.0,3162.0
400,Indiana University-Purdue University-Fort Wayne,IN,Fort Wayne,10416.0,24.0,36500.0,8302.0
401,University of Akron Main Campus,OH,Akron,17424.0,40.0,36500.0,15630.0
402,Georgia Southwestern State University,GA,Americus,13087.0,33.0,36400.0,2409.0
403,University of Southern Mississippi,MS,Hattiesburg,12570.0,47.0,36400.0,11658.0
404,University of New Mexico-Main Campus,NM,Albuquerque,12827.0,46.0,36400.0,19646.0
405,New Mexico Highlands University,NM,Las Vegas,7853.0,20.0,36300.0,2066.0
406,Indiana University-Northwest,IN,Gary,8760.0,24.0,36300.0,3727.0
407,The University of Tennessee-Martin,TN,Martin,9911.0,48.0,36200.0,5576.0
408,Indiana University-Kokomo,IN,Kokomo,9876.0,34.0,36200.0,2771.0
409,Wayne State College,NE,Wayne,12722.0,49.0,36100.0,2641.0
410,Eastern Kentucky University,KY,Richmond,11150.0,41.0,36100.0,13127.0
411,University of Wisconsin Colleges,WI,Madison,8984.0,23.0,36000.0,9811.0
412,Youngstown State University,OH,Youngstown,11827.0,30.0,35900.0,10147.0
413,Winthrop University,SC,Rock Hill,16939.0,57.0,35900.0,4790.0
414,CUNY Medgar Evers College,NY,Brooklyn,9753.0,12.0,35900.0,6405.0
415,Columbus State University,GA,Columbus,12442.0,30.0,35900.0,6557.0
416,Columbia Basin College,WA,Pasco,7820.0,28.0,35900.0,5407.0
417,Black Hills State University,SD,Spearfish,15793.0,38.0,35900.0,2770.0
418,Delaware State University,DE,Dover,17956.0,42.0,35800.0,3692.0
419,Southeastern Oklahoma State University,OK,Durant,9025.0,27.0,35800.0,2989.0
420,Norfolk State University,VA,Norfolk,15304.0,34.0,35800.0,4707.0
421,Northeastern State University,OK,Tahlequah,8661.0,27.0,35800.0,6548.0
422,Jacksonville State University,AL,Jacksonville,17664.0,33.0,35800.0,6714.0
423,Henderson State University,AR,Arkadelphia,10575.0,34.0,35700.0,3048.0
424,SUNY College of Technology at Canton,NY,Canton,12784.0,33.0,35700.0,3094.0
425,Idaho State University,ID,Pocatello,16481.0,30.0,35700.0,8307.0
426,Louisiana State University-Shreveport,LA,Shreveport,9158.0,36.0,35700.0,2199.0
427,Southern Arkansas University Main Campus,AR,Magnolia,11452.0,35.0,35700.0,3012.0
428,Prairie View A & M University,TX,Prairie View,10795.0,33.0,35700.0,7417.0
429,Marshall University,WV,Huntington,9465.0,45.0,35600.0,8700.0
430,The University of Montana,MT,Missoula,13978.0,45.0,35500.0,9356.0
431,Northern Michigan University,MI,Marquette,12505.0,47.0,35500.0,6983.0
432,Dixie State University,UT,Saint George,13501.0,34.0,35400.0,7432.0
433,Edinboro University of Pennsylvania,PA,Edinboro,14612.0,44.0,35400.0,4746.0
434,Tennessee State University,TN,Nashville,10720.0,36.0,35300.0,6878.0
435,Oklahoma State University Institute of Technology,OK,Okmulgee,8361.0,31.0,35300.0,2164.0
436,Morrisville State College,NY,Morrisville,16901.0,27.0,35200.0,2765.0
437,Virginia State University,VA,Petersburg,14507.0,46.0,35200.0,4155.0
438,Fort Lewis College,CO,Durango,17012.0,43.0,35200.0,3443.0
439,SUNY at Purchase College,NY,Purchase,18597.0,60.0,35200.0,3901.0
440,University of the District of Columbia,DC,Washington,15532.0,14.0,35200.0,3695.0
441,East Tennessee State University,TN,Johnson City,15509.0,42.0,35100.0,10709.0
442,SUNY College of Agriculture and Technology at Cobleskill,NY,Cobleskill,15634.0,38.0,35000.0,2271.0
443,Brazosport College,TX,Lake Jackson,3998.0,18.0,35000.0,3150.0
444,Austin Peay State University,TN,Clarksville,12425.0,37.0,34900.0,9116.0
445,Indiana University-South Bend,IN,South Bend,10077.0,27.0,34900.0,4981.0
446,University of Arkansas at Little Rock,AR,Little Rock,13357.0,30.0,34900.0,7023.0
447,Broward College,FL,Fort Lauderdale,9118.0,31.0,34900.0,38674.0
448,Western Kentucky University,KY,Bowling Green,11578.0,44.0,34700.0,14956.0
449,Southern University and A & M College,LA,Baton Rouge,13118.0,32.0,34700.0,4858.0
450,North Carolina A & T State University,NC,Greensboro,10397.0,44.0,34700.0,9354.0
451,Florida SouthWestern State College,FL,Fort Myers,9966.0,33.0,34700.0,11035.0
452,Georgia Highlands College,GA,Rome,5938.0,9.0,34700.0,5635.0
453,Lewis-Clark State College,ID,Lewiston,11027.0,30.0,34600.0,3038.0
454,New Mexico State University-Main Campus,NM,Las Cruces,9571.0,44.0,34600.0,11421.0
455,Montana State University-Billings,MT,Billings,13827.0,25.0,34600.0,3536.0
456,Santa Fe College,FL,Gainesville,9979.0,56.0,34600.0,13799.0
457,University of North Carolina at Asheville,NC,Asheville,12145.0,61.0,34500.0,3462.0
458,Missouri Western State University,MO,Saint Joseph,10026.0,31.0,34400.0,4150.0
459,University of North Carolina at Pembroke,NC,Pembroke,11550.0,37.0,34400.0,5344.0
460,Cameron University,OK,Lawton,9347.0,20.0,34300.0,4117.0
461,Northwestern State University of Louisiana,LA,Natchitoches,12182.0,37.0,34300.0,7498.0
462,University of Montevallo,AL,Montevallo,18000.0,47.0,34200.0,2399.0
463,Shawnee State University,OH,Portsmouth,14172.0,33.0,34200.0,3355.0
464,Lander University,SC,Greenwood,13569.0,44.0,34200.0,2658.0
465,Arkansas Tech University,AR,Russellville,11614.0,40.0,34100.0,8463.0
466,Mississippi University for Women,MS,Columbus,10224.0,47.0,34100.0,2308.0
467,Clark College,WA,Vancouver,7930.0,25.0,34100.0,8364.0
468,Rogers State University,OK,Claremore,12632.0,22.0,34000.0,3420.0
469,Oklahoma State University-Oklahoma City,OK,Oklahoma City,6408.0,6.0,33900.0,5631.0
470,Chicago State University,IL,Chicago,13016.0,14.0,33800.0,2352.0
471,Louisiana State University-Alexandria,LA,Alexandria,7941.0,26.0,33700.0,2579.0
472,Delta State University,MS,Cleveland,12717.0,34.0,33700.0,2429.0
473,Missouri Southern State University,MO,Joplin,9158.0,30.0,33300.0,5477.0
474,Palm Beach State College,FL,Lake Worth,4156.0,35.0,33300.0,26916.0
475,Auburn University at Montgomery,AL,Montgomery,15053.0,22.0,33300.0,4171.0
476,Yakima Valley College,WA,Yakima,7198.0,23.0,33300.0,2478.0
477,Olympic College,WA,Bremerton,5718.0,27.0,33200.0,4642.0
478,The Evergreen State College,WA,Olympia,12580.0,55.0,33200.0,3732.0
479,Winston-Salem State University,NC,Winston-Salem,10849.0,46.0,33200.0,4654.0
480,Francis Marion University,SC,Florence,11176.0,41.0,33100.0,3221.0
481,Morehead State University,KY,Morehead,11308.0,43.0,33100.0,6647.0
482,Fairmont State University,WV,Fairmont,10220.0,30.0,33000.0,3662.0
483,North Carolina Central University,NC,Durham,11564.0,42.0,32900.0,5897.0
484,St Petersburg College,FL,Clearwater,7166.0,30.0,32900.0,25611.0
485,Abraham Baldwin Agricultural College,GA,Tifton,8334.0,19.0,32900.0,3233.0
486,Vincennes University,IN,Vincennes,10989.0,23.0,32800.0,7563.0
487,Colorado Mountain College,CO,Glenwood Springs,9404.0,22.0,32700.0,3523.0
488,Schoolcraft College,MI,Livonia,4233.0,18.0,32700.0,10145.0
489,Valencia College,FL,Orlando,6506.0,44.0,32600.0,38044.0
490,Skagit Valley College,WA,Mount Vernon,9185.0,20.0,32500.0,2744.0
491,College of Southern Nevada,NV,Las Vegas,7028.0,7.0,32300.0,28939.0
492,Dalton State College,GA,Dalton,11247.0,15.0,32300.0,4780.0
493,Seattle Central College,WA,Seattle,4810.0,23.0,32300.0,3398.0
494,Arkansas State University-Main Campus,AR,Jonesboro,12418.0,43.0,32200.0,9128.0
495,Albany State University,GA,Albany,12559.0,31.0,32200.0,2576.0
496,Florida State College at Jacksonville,FL,Jacksonville,7372.0,36.0,31900.0,20507.0
497,Polk State College,FL,Winter Haven,8769.0,30.0,31800.0,8583.0
498,Seminole State College of Florida,FL,Sanford,8928.0,37.0,31800.0,15602.0
499,Snow College,UT,Ephraim,8985.0,42.0,31700.0,3509.0
500,Middle Georgia State University,GA,Macon,9961.0,14.0,31500.0,7077.0
501,East Georgia State College,GA,Swainsboro,5079.0,6.0,31500.0,2785.0
502,Indiana University-East,IN,Richmond,9009.0,31.0,31500.0,3082.0
503,University of Arkansas at Monticello,AR,Monticello,10154.0,26.0,31500.0,2633.0
504,College of Central Florida,FL,Ocala,9668.0,40.0,31400.0,6154.0
505,Lincoln University,MO,Jefferson City,11800.0,21.0,31400.0,2113.0
506,Great Basin College,NV,Elko,9021.0,22.0,31300.0,2032.0
507,Savannah State University,GA,Savannah,10966.0,27.0,31300.0,4627.0
508,Texas Southern University,TX,Houston,18953.0,18.0,31300.0,6562.0
509,Gordon State College,GA,Barnesville,13651.0,10.0,31200.0,3577.0
510,Fayetteville State University,NC,Fayetteville,5952.0,32.0,31200.0,5105.0
511,Miami Dade College,FL,Miami,7643.0,32.0,31100.0,50604.0
512,Alcorn State University,MS,Alcorn State,14771.0,32.0,31100.0,2812.0
513,Alabama A & M University,AL,Normal,15567.0,29.0,31000.0,4616.0
514,University of Arkansas-Fort Smith,AR,Fort Smith,8568.0,24.0,31000.0,5511.0
515,State College of Florida-Manatee-Sarasota,FL,Bradenton,10577.0,31.0,30900.0,8739.0
516,Lake-Sumter State College,FL,Leesburg,4089.0,37.0,30900.0,3639.0
517,Fort Valley State University,GA,Fort Valley,12946.0,27.0,30900.0,2223.0
518,Saint Johns River State College,FL,Palatka,5961.0,39.0,30800.0,4807.0
519,Spokane Falls Community College,WA,Spokane,6033.0,23.0,30700.0,5262.0
520,Western Nevada College,NV,Carson City,9733.0,20.0,30500.0,3006.0
521,Jackson College,MI,Jackson,7587.0,13.0,30500.0,4509.0
522,Indian River State College,FL,Fort Pierce,2198.0,38.0,30400.0,14095.0
523,South Texas College,TX,McAllen,1717.0,18.0,30300.0,19701.0
524,South Georgia State College,GA,Douglas,9381.0,13.0,30300.0,2188.0
525,University of Guam,GU,Mangilao,9027.0,29.0,30100.0,3520.0
526,Jackson State University,MS,Jackson,13646.0,39.0,30000.0,7457.0
527,Northwestern Michigan College,MI,Traverse City,9186.0,16.0,30000.0,3724.0
528,University of Hawaii Maui College,HI,Kahului,8772.0,13.0,29900.0,2694.0
529,West Virginia State University,WV,Institute,9285.0,28.0,29800.0,2005.0
530,South Carolina State University,SC,Orangeburg,21356.0,37.0,29800.0,2499.0
531,Gulf Coast State College,FL,Panama City,3106.0,32.0,29700.0,4017.0
532,Pasco-Hernando State College,FL,New Port Richey,5895.0,34.0,29700.0,9488.0
533,Darton State College,GA,Albany,8994.0,12.0,29600.0,3791.0
534,Eastern New Mexico University-Main Campus,NM,Portales,9503.0,34.0,29500.0,3483.0
535,Florida Gateway College,FL,Lake City,4378.0,37.0,29500.0,2156.0
536,Eastern Florida State College,FL,Cocoa,6107.0,44.0,29300.0,12321.0
537,Daytona State College,FL,Daytona Beach,4781.0,33.0,28700.0,8758.0
538,College of Coastal Georgia,GA,Brunswick,11066.0,13.0,28300.0,3174.0
539,Pensacola State College,FL,Pensacola,4792.0,31.0,28200.0,7723.0
540,Grambling State University,LA,Grambling,17494.0,34.0,28100.0,3882.0
541,Atlanta Metropolitan State College,GA,Atlanta,5346.0,11.0,28000.0,2486.0
542,West Virginia University at Parkersburg,WV,Parkersburg,8440.0,36.0,28000.0,2262.0
543,Northwest Florida State College,FL,Niceville,8277.0,36.0,27800.0,4185.0
544,Alabama State University,AL,Montgomery,15037.0,25.0,27700.0,4704.0
545,Pueblo Community College,CO,Pueblo,12320.0,24.0,27700.0,3922.0
546,University of Maine at Augusta,ME,Augusta,9673.0,13.0,27700.0,3632.0
547,Langston University,OK,Langston,13800.0,11.0,27700.0,2013.0
548,University of Arkansas at Pine Bluff,AR,Pine Bluff,8180.0,25.0,27200.0,2711.0
549,South Florida State College,FL,Avon Park,5567.0,47.0,26900.0,2063.0
550,Colorado State University-Global Campus,CO,Greenwood Village,,,,7753.0
551,University of California-Merced,CA,Merced,13031.0,66.0,,6815.0
552,University of Puerto Rico-Arecibo,PR,Arecibo,5953.0,45.0,,4062.0
553,University of Puerto Rico-Carolina,PR,Carolina,7270.0,35.0,,3819.0
554,University of Puerto Rico-Ponce,PR,Ponce,6958.0,42.0,,3630.0
555,University of Puerto Rico-Cayey,PR,Cayey,5652.0,48.0,,3749.0
556,University of Puerto Rico-Mayaguez,PR,Mayaguez,7497.0,40.0,,11987.0
557,University of Puerto Rico-Rio Piedras,PR,San Juan,2108.0,48.0,,13263.0
558,Kennesaw State University,GA,Kennesaw,17832.0,42.0,,31611.0
559,Texas A&M University-San Antonio,TX,San Antonio,,,,4556.0
560,Georgia Gwinnett College,GA,Lawrenceville,13216.0,18.0,,11443.0
561,Nevada State College,NV,Henderson,12271.0,14.0,,3345.0
562,University of Puerto Rico-Bayamon,PR,Bayamon,4270.0,36.0,,4832.0
563,University of Puerto Rico-Aguadilla,PR,Aguadilla,1887.0,38.0,,3333.0
564,University of Puerto Rico-Humacao,PR,Humacao,5632.0,46.0,,3931.0
