,college,state,city,average_costs,graduation_rate,salary_after_attending,students
36,Oregon Institute of Technology,OR,Klamath Falls,16687.0,46.0,56600.0,3610.0
37,James Madison University,VA,Harrisonburg,20036.0,82.0,56600.0,19262.0
38,South Dakota School of Mines and Technology,SD,Rapid City,20097.0,49.0,56500.0,2353.0
39,University of Colorado Denver/Anschutz Medical Campus,CO,Denver,14816.0,47.0,56400.0,11228.0
40,University of Wisconsin-Madison,WI,Madison,19320.0,85.0,56200.0,29536.0
41,San Jose State University,CA,San Jose,14376.0,59.0,56100.0,26253.0
42,University of Florida-Online,FL,Gainesville,10358.0,,56000.0,2160.0
43,University of Florida,FL,Gainesville,12159.0,87.0,56000.0,33309.0
44,University of North Carolina at Chapel Hill,NC,Chapel Hill,13210.0,91.0,55600.0,18169.0
45,University of California-Santa Barbara,CA,Santa Barbara,14900.0,82.0,55300.0,21570.0
46,Purdue University-Main Campus,IN,West Lafayette,13545.0,75.0,55100.0,30849.0
47,University of Maryland-Baltimore County,MD,Baltimore,19937.0,64.0,55000.0,11025.0
48,University of Illinois at Chicago,IL,Chicago,13562.0,59.0,54300.0,17804.0
49,California State Polytechnic University-Pomona,CA,Pomona,12484.0,65.0,54000.0,23611.0
50,University of Pittsburgh-Johnstown,PA,Johnstown,19053.0,54.0,53900.0,2765.0
51,University of Pittsburgh-Pittsburgh Campus,PA,Pittsburgh,28261.0,82.0,53900.0,18920.0
52,Michigan State University,MI,East Lansing,17120.0,78.0,53600.0,38851.0
53,University of Massachusetts-Lowell,MA,Lowell,19095.0,56.0,53300.0,12909.0
54,Ramapo College of New Jersey,NJ,Mahwah,21022.0,73.0,53200.0,5445.0
55,The University of Texas at Dallas,TX,Richardson,13343.0,67.0,53100.0,17339.0
56,University of Utah,UT,Salt Lake City,12674.0,65.0,53000.0,22748.0
57,University of Rhode Island,RI,Kingston,19216.0,63.0,52900.0,13788.0
58,University at Buffalo,NY,Buffalo,17163.0,74.0,52600.0,20102.0
59,North Carolina State University at Raleigh,NC,Raleigh,14682.0,76.0,52500.0,22390.0
60,Clemson University,SC,Clemson,16770.0,81.0,52400.0,18395.0
61,University of Iowa,IA,Iowa City,14192.0,72.0,51900.0,22990.0
62,University of Minnesota-Twin Cities,MN,Minneapolis,16993.0,78.0,51900.0,30974.0
63,California State University-East Bay,CA,Hayward,10755.0,47.0,51700.0,13361.0
64,Farmingdale State College,NY,Farmingdale,9784.0,48.0,51700.0,8591.0
65,University of Houston,TX,Houston,15399.0,51.0,51600.0,34560.0
66,SUNY at Albany,NY,Albany,16888.0,67.0,51500.0,12955.0
67,University of New Hampshire-Main Campus,NH,Durham,24879.0,78.0,51400.0,12653.0
68,Texas Tech University,TX,Lubbock,16450.0,60.0,51400.0,29587.0
69,University of Mary Washington,VA,Fredericksburg,21569.0,71.0,51400.0,4318.0
70,University of Massachusetts-Amherst,MA,Amherst,19324.0,77.0,51400.0,22958.0
71,University of Maryland-University College,MD,Adelphi,12149.0,9.0,51200.0,41070.0
72,University of Oklahoma-Norman Campus,OK,Norman,17288.0,67.0,51100.0,21082.0
73,San Diego State University,CA,San Diego,14585.0,71.0,51000.0,29398.0
74,University of Colorado Boulder,CO,Boulder,23127.0,71.0,50800.0,27376.0
75,Towson University,MD,Towson,17628.0,70.0,50800.0,18968.0
76,Iowa State University,IA,Ames,13947.0,73.0,50700.0,30224.0
77,Washington State University,WA,Pullman,16278.0,65.0,50600.0,24362.0
78,Salisbury University,MD,Salisbury,18887.0,68.0,50500.0,7657.0
79,Temple University,PA,Philadelphia,21335.0,71.0,50500.0,28709.0
80,University of Georgia,GA,Athens,13822.0,85.0,50500.0,27851.0
81,Louisiana State University and Agricultural & Mechanical College,LA,Baton Rouge,13624.0,68.0,50100.0,24365.0
82,Pennsylvania State University-Main Campus,PA,University Park,29806.0,86.0,50100.0,40891.0
83,Pennsylvania State University-Penn State Erie-Behrend College,PA,Erie,24699.0,66.0,50100.0,4338.0
84,Pennsylvania State University-Penn State Berks,PA,Reading,22907.0,59.0,50100.0,2785.0
85,Pennsylvania State University-Penn State Abington,PA,Abington,13058.0,48.0,50100.0,3503.0
86,Pennsylvania State University-World Campus,PA,University Park,23183.0,27.0,50100.0,7489.0
87,Pennsylvania State University-Penn State Altoona,PA,Altoona,24696.0,68.0,50100.0,3431.0
